Descriptors,Fitness,Model,Dimen,R2train,R2test,R2Validation,RMSE,testMAE,testAccPred
[157_ 245_ 341_ 387_ 516_ 580],1.2356,None with SVM,6,0.4774,0.5497,0.5586,1.1672,0.9315,0.6197
[9_ 16_ 245_ 307_ 345_ 486_ 503_ 580],1.251,None with SVM,8,0.4736,0.5458,0.5607,1.1722,0.9345,0.6338
[148_ 198_ 245_ 285_ 342_ 396_ 453_ 518_ 580],1.252,None with SVM,9,0.4798,0.547,0.5624,1.1707,0.9298,0.6197
[28_ 234_ 245_ 264_ 292],1.2649,None with SVM,5,0.4531,0.451,0.5206,1.2889,1.0058,0.5915
[36_ 284_ 357_ 413_ 516],1.2889,None with SVM,5,0.4589,0.4249,0.452,1.3192,1.0156,0.5915
[110_ 173_ 357_ 413_ 460_ 518],1.2963,None with SVM,6,0.458,0.4272,0.4526,1.3165,1.0113,0.5915
[57_ 191_ 245_ 328_ 559],1.2993,None with SVM,5,0.4188,0.4514,0.5019,1.2884,1.0078,0.6056
[162_ 291_ 366_ 444_ 445_ 457],1.3006,None with SVM,6,0.4575,0.403,0.4432,1.3441,1.0504,0.5634
[37_ 317_ 353_ 357_ 364_ 477_ 566_ 581],1.3015,None with SVM,8,0.4324,0.368,0.5204,1.3828,1.095,0.5352
[127_ 134_ 234_ 531_ 555_ 563_ 570],1.3045,None with SVM,7,0.4625,0.389,0.4415,1.3597,1.0599,0.5634
[196_ 201_ 212_ 285_ 381_ 398_ 475],1.3087,None with SVM,7,0.4076,0.3332,0.5326,1.4204,1.148,0.507
[5_ 28_ 51_ 191_ 288_ 464_ 558],1.309,None with SVM,7,0.4525,0.3644,0.4491,1.3868,1.0696,0.5493
[154_ 173_ 249_ 302_ 364_ 376_ 410_ 536],1.3176,None with SVM,8,0.4587,0.2802,0.4347,1.4758,1.1977,0.4789
[107_ 260_ 357_ 555_ 581],1.3194,None with SVM,5,0.442,0.3352,0.4092,1.4183,1.1147,0.507
[89_ 129_ 357_ 453_ 566],1.3237,None with SVM,5,0.393,0.3322,0.49,1.4215,1.1333,0.507
[42_ 59_ 408_ 543_ 555_ 565],1.3254,None with SVM,6,0.4482,0.2696,0.4003,1.4866,1.0546,0.662
[11_ 34_ 89_ 344_ 348_ 380_ 383_ 402],1.3269,None with SVM,8,0.4066,0.418,0.508,1.327,1.0733,0.5915
[41_ 58_ 418_ 436_ 463],1.3278,None with SVM,5,0.3729,0.3832,0.5175,1.3662,1.0962,0.5493
[10_ 183_ 188_ 362_ 363_ 426_ 490],1.328,None with SVM,7,0.4051,0.4249,0.4911,1.3191,1.0344,0.5915
[34_ 305_ 443_ 446_ 502],1.3291,None with SVM,5,0.3692,0.4293,0.5212,1.314,1.0369,0.5493
[3_ 18_ 105_ 234_ 344_ 362_ 563],1.3302,None with SVM,7,0.4456,0.3983,0.411,1.3493,1.0891,0.5634
[55_ 97_ 167_ 289_ 357_ 386_ 430_ 571],1.336,None with SVM,8,0.4167,0.3897,0.4676,1.3589,1.0821,0.5634
[56_ 259_ 357_ 516_ 583],1.3363,None with SVM,5,0.3771,0.3625,0.4885,1.3889,1.135,0.4789
[198_ 214_ 312_ 344_ 354_ 373_ 415],1.3365,None with SVM,7,0.4032,0.4207,0.4738,1.3239,1.1014,0.5352
[18_ 68_ 318_ 357_ 386_ 581],1.3384,None with SVM,6,0.3991,0.3546,0.4592,1.3974,1.1169,0.5493
[5_ 24_ 75_ 94_ 227_ 285_ 361_ 362_ 398_ 422],1.3419,None with SVM,10,0.42,0.3044,0.4833,1.4507,1.1411,0.4648
[4_ 105_ 232_ 288_ 316_ 323_ 543_ 565],1.3428,None with SVM,8,0.426,0.3756,0.4344,1.3746,1.098,0.4789
[74_ 161_ 248_ 361_ 366_ 460],1.3437,None with SVM,6,0.4165,0.3321,0.4139,1.4216,1.1933,0.493
[273_ 351_ 357_ 383_ 471_ 477],1.3457,None with SVM,6,0.3795,0.3856,0.4777,1.3635,1.0955,0.493
[270_ 302_ 410_ 565_ 566_ 582],1.3458,None with SVM,6,0.3908,0.3101,0.4566,1.4448,1.1253,0.5352
[33_ 341_ 398_ 401_ 567],1.3464,None with SVM,5,0.4146,0.3319,0.3928,1.4217,1.1081,0.5775
[76_ 97_ 350_ 357_ 365_ 367_ 371_ 570],1.3486,None with SVM,8,0.4036,0.415,0.4614,1.3304,1.066,0.493
[259_ 376_ 387_ 424_ 537],1.3501,None with SVM,5,0.4214,0.3559,0.3705,1.396,1.1288,0.4085
[55_ 141_ 184_ 362_ 453_ 460_ 502],1.3527,None with SVM,7,0.3945,0.3805,0.4501,1.3691,1.0657,0.662
[33_ 84_ 215_ 273_ 285_ 498_ 530_ 558],1.3534,None with SVM,8,0.4005,0.3663,0.4554,1.3847,1.0672,0.5493
[54_ 104_ 303_ 315_ 497_ 532_ 547_ 585],1.3538,None with SVM,8,0.3889,0.2994,0.4756,1.4559,1.1627,0.5211
[346_ 368_ 537_ 581_ 583_ 585],1.3547,None with SVM,6,0.4111,0.3374,0.3966,1.4159,1.1527,0.4648
[82_ 98_ 100_ 252_ 357_ 374_ 471],1.3548,None with SVM,7,0.3684,0.3847,0.4931,1.3645,1.1006,0.5352
[201_ 275_ 346_ 356_ 413_ 566],1.3549,None with SVM,6,0.4062,0.3689,0.405,1.3818,1.0401,0.5915
[103_ 210_ 258_ 280_ 385_ 438_ 493],1.3572,None with SVM,7,0.4397,0.3432,0.3557,1.4097,1.092,0.5775
[241_ 245_ 321_ 395_ 397],1.3598,None with SVM,5,0.3688,0.4286,0.4444,1.3149,1.0415,0.5634
[31_ 34_ 65_ 446_ 458],1.3605,None with SVM,5,0.3563,0.3993,0.4661,1.3482,1.0729,0.5352
[110_ 315_ 331_ 376_ 569],1.361,None with SVM,5,0.4021,0.3584,0.3789,1.3933,1.1156,0.4789
[5_ 90_ 335_ 484_ 554],1.3612,None with SVM,5,0.3654,0.3049,0.4471,1.4503,1.1139,0.507
[29_ 274_ 314_ 379_ 565],1.3616,None with SVM,5,0.3607,0.3889,0.4551,1.3598,1.0677,0.5352
[47_ 197_ 285_ 356_ 359_ 543],1.3623,None with SVM,6,0.388,0.3981,0.4202,1.3495,1.1267,0.4648
[200_ 230_ 253_ 357_ 418_ 532_ 548_ 566_ 581],1.3649,None with SVM,9,0.3748,0.3494,0.4925,1.4031,1.1286,0.5493
[105_ 232_ 285_ 288_ 316_ 322_ 331_ 443],1.3656,None with SVM,8,0.4013,0.415,0.4242,1.3304,1.0713,0.5493
[81_ 292_ 331_ 381_ 540_ 543],1.3658,None with SVM,6,0.3626,0.3614,0.4585,1.39,1.0731,0.5493
