Descriptors,Fitness,Model,Dimen,R2train,R2test,R2Validation,RMSE,testMAE,testAccPred
[69_ 88_ 139_ 155_ 187_ 269_ 280_ 312_ 336_ 338_ 343_ 344_ 589],1.6124,None with MLR,13,0.3795,0.3228,0.3294,1.4314,1.1663,0.4789
[9_ 18_ 66_ 79_ 119_ 134_ 154_ 238_ 321_ 413],1.4616,None with MLR,10,0.299,0.3391,0.4103,1.4141,1.2221,0.4225
[72_ 122_ 147_ 160_ 176_ 192_ 202_ 260_ 285_ 457_ 555],1.3606,None with MLR,11,0.4806,0.4897,0.4635,1.2426,1.0473,0.5493
[125_ 140_ 287_ 298_ 341_ 397_ 399_ 411_ 426_ 468],1.516,None with MLR,10,0.2934,0.1983,0.2798,1.5574,1.2613,0.4648
[47_ 162_ 184_ 213_ 248_ 335_ 494],1.4681,None with MLR,7,0.3015,0.2985,0.3254,1.4569,1.2144,0.4225
[19_ 200_ 202_ 255_ 386_ 495_ 558],1.4139,None with MLR,7,0.3238,0.3542,0.4264,1.3979,1.1131,0.5634
[174_ 367_ 370_ 521_ 590],1.4468,None with MLR,5,0.2738,0.2734,0.3928,1.4828,1.1895,0.493
[25_ 51_ 103_ 109_ 146_ 147_ 194_ 251_ 278_ 349_ 381_ 559],1.6076,None with MLR,12,0.3149,0.2606,0.3093,1.4958,1.2097,0.493
[42_ 44_ 106_ 158_ 163_ 179_ 184_ 341_ 366_ 489],1.3207,None with MLR,10,0.4465,0.3295,0.4843,1.4243,1.1277,0.5211
[58_ 68_ 132_ 135_ 197_ 225_ 237_ 250_ 304_ 423],1.4935,None with MLR,10,0.3921,0.182,0.1607,1.5732,1.2569,0.5352
[154_ 233_ 250_ 286_ 300_ 395],1.5349,None with MLR,6,0.2271,0.1668,0.2567,1.5877,1.2958,0.493
[17_ 55_ 95_ 114_ 123_ 162_ 299_ 304_ 322_ 404_ 422_ 519_ 530_ 533],1.6183,None with MLR,14,0.3943,0.3797,0.4287,1.37,1.1189,0.5211
[31_ 45_ 463_ 469_ 511_ 545],1.4131,None with MLR,6,0.3311,0.2717,0.3954,1.4845,1.1908,0.493
[81_ 83_ 189_ 219_ 385_ 543_ 591],1.4644,None with MLR,7,0.261,0.2484,0.4096,1.5081,1.2279,0.5352
[3_ 17_ 52_ 188_ 238_ 288_ 295_ 398_ 419_ 443_ 497_ 537_ 548_ 584],1.6312,None with MLR,14,0.3739,0.3515,0.4348,1.4008,1.1576,0.4648
[2_ 26_ 44_ 48_ 151_ 199_ 230_ 232_ 339_ 512],1.4526,None with MLR,10,0.2971,0.3451,0.4364,1.4076,1.1011,0.5493
[17_ 86_ 100_ 107_ 233_ 245_ 269_ 327_ 392_ 434_ 571_ 586],1.4907,None with MLR,12,0.41,0.3137,0.4249,1.441,1.1657,0.5352
[3_ 26_ 92_ 98_ 169_ 217_ 285_ 316_ 365_ 423_ 548],1.456,None with MLR,11,0.3701,0.3616,0.4401,1.3899,1.1041,0.5211
[34_ 101_ 174_ 190_ 248_ 339_ 455_ 516_ 539_ 543],1.321,None with MLR,10,0.4302,0.4905,0.5132,1.2416,1.0221,0.5775
[27_ 113_ 231_ 237_ 305_ 320_ 339_ 382_ 418_ 503_ 518_ 591],1.6819,None with MLR,12,0.3543,0.2215,0.0471,1.5348,1.1577,0.5493
[15_ 169_ 185_ 227_ 339_ 345_ 508_ 528],1.4743,None with MLR,8,0.3035,0.2676,0.3265,1.4886,1.172,0.5352
[54_ 83_ 96_ 189_ 267_ 417_ 436_ 445_ 485_ 497],1.4351,None with MLR,10,0.3184,0.3365,0.4418,1.4169,1.1603,0.4789
[170_ 308_ 463_ 515_ 520_ 539_ 590],1.4889,None with MLR,7,0.3251,0.2523,0.2255,1.5041,1.184,0.4789
[29_ 51_ 152_ 197_ 374_ 385_ 389_ 450_ 533_ 562],1.4342,None with MLR,10,0.3717,0.1975,0.3481,1.5583,1.1685,0.507
[52_ 78_ 348_ 371_ 380_ 408_ 426_ 486_ 537_ 583],1.4711,None with MLR,10,0.3339,0.1934,0.3231,1.5622,1.2028,0.4789
[81_ 111_ 162_ 254_ 319_ 381_ 567],1.4516,None with MLR,7,0.3253,0.2988,0.3252,1.4566,1.1737,0.5352
[105_ 177_ 227_ 252_ 256_ 321_ 404_ 431],1.5811,None with MLR,8,0.2237,0.1862,0.1801,1.5692,1.2811,0.4225
[33_ 86_ 149_ 156_ 172_ 298_ 326_ 348_ 389_ 512_ 588],1.4589,None with MLR,11,0.404,0.3193,0.3725,1.4351,1.1168,0.5493
[42_ 53_ 212_ 265_ 361_ 376_ 407_ 410_ 429_ 470_ 476_ 564_ 589],1.534,None with MLR,13,0.481,0.4452,0.3348,1.2956,1.0143,0.6056
[12_ 86_ 103_ 144_ 211_ 289_ 297_ 479_ 499_ 506],1.3734,None with MLR,10,0.442,0.3141,0.3695,1.4406,1.1151,0.5775
[10_ 63_ 69_ 138_ 213_ 257_ 259_ 262_ 301_ 329_ 368_ 372_ 381_ 439],1.6771,None with MLR,14,0.3819,0.3576,0.3126,1.3942,1.114,0.507
[72_ 127_ 191_ 289_ 349_ 381_ 444_ 476_ 527],1.4823,None with MLR,9,0.3612,0.3337,0.2227,1.4199,1.1193,0.493
[190_ 260_ 284_ 316_ 488_ 496],1.3821,None with MLR,6,0.36,0.3018,0.4222,1.4535,1.2028,0.4648
[195_ 201_ 217_ 262_ 270_ 301_ 356_ 358_ 362_ 447_ 449_ 502],1.5377,None with MLR,12,0.3575,0.3823,0.4065,1.3671,1.0878,0.5493
[13_ 53_ 312_ 415_ 461_ 570],1.446,None with MLR,6,0.3172,0.2993,0.3344,1.456,1.1447,0.5352
[110_ 230_ 371_ 389_ 417_ 418_ 454_ 470_ 506_ 559],1.4209,None with MLR,10,0.3592,0.3284,0.4036,1.4255,1.1794,0.493
[64_ 162_ 211_ 228_ 243_ 516_ 545_ 555_ 562_ 565_ 573_ 583],1.5383,None with MLR,12,0.362,0.318,0.3971,1.4365,1.0954,0.5211
[1_ 116_ 181_ 244_ 246_ 255_ 365_ 388_ 412_ 569_ 579_ 584],1.4799,None with MLR,12,0.4021,0.3922,0.4638,1.3561,1.1064,0.5211
[167_ 178_ 353_ 366_ 401_ 450_ 529_ 536],1.3441,None with MLR,8,0.4063,0.3812,0.4674,1.3683,1.0993,0.5211
[6_ 17_ 38_ 240_ 360_ 459_ 501_ 542_ 551_ 553_ 564],1.2836,None with MLR,11,0.532,0.5521,0.5387,1.1642,0.9185,0.662
[125_ 214_ 255_ 317_ 356_ 370_ 430_ 500_ 514_ 550_ 592],1.5129,None with MLR,11,0.3936,0.3898,0.2588,1.3588,1.095,0.493
[206_ 365_ 411_ 450_ 525],1.4154,None with MLR,5,0.3199,0.3693,0.391,1.3814,1.1466,0.4366
[87_ 197_ 268_ 316_ 336_ 339_ 528_ 581],1.3654,None with MLR,8,0.3815,0.3102,0.461,1.4447,1.1471,0.5352
[76_ 89_ 246_ 258_ 338_ 436_ 540],1.4643,None with MLR,7,0.2724,0.299,0.3891,1.4564,1.1705,0.507
[16_ 35_ 44_ 45_ 106_ 162_ 257_ 392_ 417_ 422_ 555],1.4444,None with MLR,11,0.436,0.307,0.3498,1.4481,1.1682,0.4789
[31_ 43_ 112_ 154_ 157_ 172_ 208_ 225_ 232_ 430_ 466],1.4602,None with MLR,11,0.3942,0.3197,0.3869,1.4347,1.1661,0.5211
[42_ 69_ 137_ 190_ 256_ 287_ 305_ 450_ 476],1.4047,None with MLR,9,0.3357,0.3921,0.4664,1.3562,1.0514,0.5352
[21_ 27_ 65_ 156_ 192_ 193_ 353_ 356_ 375_ 418_ 542_ 570],1.4756,None with MLR,12,0.4208,0.3377,0.4407,1.4156,1.1241,0.5634
[121_ 152_ 161_ 264_ 265_ 296_ 416_ 448_ 470_ 502],1.3908,None with MLR,10,0.3766,0.3837,0.4455,1.3655,1.0772,0.5493
[7_ 34_ 195_ 215_ 334_ 453_ 455_ 456_ 535],1.3025,None with MLR,9,0.4545,0.4856,0.4947,1.2476,0.9901,0.5775
[69_ 139_ 155_ 240_ 269_ 280_ 338_ 343_ 501_ 551_ 589],1.4864,None with MLR,11,0.3682,0.3463,0.3699,1.4063,1.1556,0.493
[9_ 18_ 66_ 119_ 134_ 154_ 238_ 360_ 413_ 551],1.5076,None with MLR,10,0.3402,0.2606,0.2174,1.4958,1.2201,0.4366
[17_ 72_ 122_ 147_ 176_ 202_ 260_ 285_ 457],1.2968,None with MLR,9,0.4749,0.4935,0.4706,1.2379,1.0333,0.5775
[125_ 140_ 240_ 287_ 298_ 341_ 360_ 397_ 399_ 411_ 459_ 468_ 501],1.6006,None with MLR,13,0.4038,0.3076,0.3152,1.4474,1.1286,0.507
[47_ 162_ 184_ 248_ 335_ 494_ 501_ 564],1.4486,None with MLR,8,0.3119,0.3469,0.3785,1.4057,1.1698,0.4648
[19_ 38_ 200_ 202_ 255_ 386_ 495_ 551_ 558_ 564],1.3059,None with MLR,10,0.4567,0.4852,0.4999,1.2481,0.9595,0.5775
[174_ 240_ 370_ 459_ 521_ 542_ 590],1.3417,None with MLR,7,0.4026,0.4313,0.4623,1.3118,1.0224,0.6056
[6_ 17_ 25_ 51_ 103_ 109_ 146_ 194_ 240_ 381_ 459_ 501_ 542_ 559],1.5778,None with MLR,14,0.4464,0.3808,0.4294,1.3687,1.107,0.507
[17_ 42_ 44_ 106_ 158_ 163_ 366_ 489_ 501_ 564],1.2912,None with MLR,10,0.4718,0.4186,0.5057,1.3264,1.0593,0.5352
[58_ 68_ 132_ 135_ 197_ 225_ 304_ 360_ 459],1.5199,None with MLR,9,0.3375,0.1232,0.166,1.6288,1.3232,0.4648
[154_ 250_ 286_ 300_ 360_ 395],1.557,None with MLR,6,0.1832,0.1503,0.2751,1.6034,1.3384,0.4225
[6_ 17_ 95_ 114_ 162_ 240_ 299_ 304_ 322_ 404_ 422_ 519_ 530_ 533_ 551],1.6539,None with MLR,15,0.4213,0.3241,0.4349,1.4301,1.1293,0.6056
[6_ 31_ 38_ 240_ 463_ 469_ 511],1.3369,None with MLR,7,0.4142,0.4259,0.4525,1.318,1.0317,0.5352
[17_ 81_ 83_ 219_ 385_ 542_ 543_ 591],1.332,None with MLR,8,0.3779,0.4307,0.5484,1.3125,1.0868,0.507
[17_ 52_ 188_ 238_ 240_ 295_ 360_ 419_ 459_ 497_ 501_ 537_ 542_ 548],1.5981,None with MLR,14,0.4326,0.4189,0.408,1.3259,1.0831,0.5352
[2_ 17_ 26_ 151_ 199_ 230_ 232_ 360_ 501_ 512],1.4202,None with MLR,10,0.3448,0.3735,0.4311,1.3768,1.0737,0.493
